,gl,searchTerms,Spearman_TFIDF_Content,Kendall_TFIDF_Content,Spearman_BM25_Content,Kendall_BM25_Content,Spearman_VSM_Content,Kendall_VSM_Content,Spearman_TFIDF_Summary,Kendall_TFIDF_Summary,Spearman_BM25_Summary,Kendall_BM25_Summary,Spearman_VSM_Summary,Kendall_VSM_Summary,Comparison_Type,Spearman_Content,Spearman_Summary,Kendall_Content,Kendall_Summary
0,uk,buick enclave for sale,0.8999999999999998,0.7999999999999999,0.09999999999999999,0.0,0.19999999999999998,0.19999999999999998,-0.09999999999999999,0.0,-0.09999999999999999,0.0,-0.19999999999999998,-0.19999999999999998,,,,,
1,uk,buick regal for sale,0.3,0.19999999999999998,0.49999999999999994,0.39999999999999997,0.7,0.6,0.49999999999999994,0.19999999999999998,0.8999999999999998,0.7999999999999999,0.39999999999999997,0.39999999999999997,,,,,
2,uk,chevrolet malibu for sale,-0.5,-0.33333333333333337,-1.0,-1.0,0.5,0.33333333333333337,0.5,0.33333333333333337,0.5,0.33333333333333337,0.5,0.33333333333333337,,,,,
3,uk,chevrolet malibu limited for sale,0.5,0.33333333333333337,-1.0,-1.0,0.5,0.33333333333333337,-0.5,-0.33333333333333337,-0.5,-0.33333333333333337,0.5,0.33333333333333337,,,,,
4,uk,chevrolet tahoe for sale,1.0,1.0,0.5,0.33333333333333337,-0.5,-0.33333333333333337,-0.5,-0.33333333333333337,-0.5,-0.33333333333333337,-0.5,-0.33333333333333337,,,,,
5,uk,chevrolet traverse for sale,1.0,1.0,0.39999999999999997,0.3333333333333334,0.0,0.0,-0.19999999999999998,0.0,0.39999999999999997,0.3333333333333334,0.6000000000000001,0.3333333333333334,,,,,
6,uk,chrysler 200 for sale,0.9999999999999999,1.0,0.9999999999999999,1.0,-0.9999999999999999,-1.0,-0.9999999999999999,-1.0,-0.9999999999999999,-1.0,0.9999999999999999,1.0,,,,,
7,uk,dodge charger for sale,-0.09999999999999999,0.0,0.6,0.39999999999999997,0.19999999999999998,0.19999999999999998,0.6,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.39999999999999997,,,,,
8,uk,dodge dart for sale,0.19999999999999998,0.19999999999999998,0.09999999999999999,0.0,0.7999999999999999,0.6,0.6,0.39999999999999997,0.7,0.6,0.39999999999999997,0.39999999999999997,,,,,
9,uk,dodge durango for sale,1.0,1.0,-0.5,-0.33333333333333337,0.5,0.33333333333333337,1.0,1.0,1.0,1.0,0.5,0.33333333333333337,,,,,
10,uk,ford edge for sale,-0.8999999999999998,-0.7999999999999999,-0.8999999999999998,-0.7999999999999999,0.09999999999999999,0.0,0.0,-0.19999999999999998,-0.39999999999999997,-0.39999999999999997,-0.7,-0.6,,,,,
11,uk,ford escape for sale,0.5,0.33333333333333337,-0.5,-0.33333333333333337,1.0,1.0,1.0,1.0,0.5,0.33333333333333337,1.0,1.0,,,,,
12,uk,ford explorer for sale,-0.9999999999999999,-1.0,-0.9999999999999999,-1.0,-0.9999999999999999,-1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,,,,,
13,uk,ford fiesta for sale,0.3714285714285715,0.3333333333333333,0.2571428571428572,0.2,-0.3142857142857143,-0.2,-0.4285714285714286,-0.3333333333333333,-0.14285714285714288,-0.06666666666666665,-0.4285714285714286,-0.3333333333333333,,,,,
14,uk,ford focus for sale,-0.028571428571428574,-0.06666666666666665,-0.7142857142857143,-0.6,-0.08571428571428573,-0.06666666666666665,0.028571428571428574,-0.06666666666666665,0.028571428571428574,-0.06666666666666665,-0.08571428571428573,-0.2,,,,,
15,uk,ford fusion for sale,0.7142857142857144,0.6190476190476191,0.6071428571428572,0.5238095238095238,0.03571428571428572,0.04761904761904762,-0.6071428571428572,-0.4285714285714286,-0.4642857142857144,-0.33333333333333337,-0.5,-0.33333333333333337,,,,,
16,uk,ford mustang for sale,0.19999999999999998,0.19999999999999998,-0.49999999999999994,-0.39999999999999997,-0.8999999999999998,-0.7999999999999999,0.3,0.19999999999999998,0.49999999999999994,0.39999999999999997,0.3,0.19999999999999998,,,,,
17,uk,gmc terrain for sale,1.0,1.0,0.0,0.0,0.0,0.0,-0.19999999999999998,0.0,-0.19999999999999998,0.0,0.0,0.0,,,,,
18,uk,hyundai accent for sale,0.0,0.0,0.0,0.0,0.7999999999999999,0.6666666666666669,-0.7999999999999999,-0.6666666666666669,0.0,0.0,0.0,0.0,,,,,
